Round,Accuracy,Precision,Recall
0,0.20827243496053785,0.08309625633030304,0.17048490853900825
1,0.3627594270681087,0.30786764535702577,0.3071465504798254
2,0.47354574685764395,0.5563169485886604,0.4372382143313894
3,0.5261619409529378,0.6728806450398361,0.5010653166676373
4,0.6558023969599532,0.7392109241777773,0.6107470508527675
